name,adm1__id
"Abra","1"
"Agusan del Norte","2"
"Agusan del Sur","3"
"Aklan","4"
"Albay","5"
"Antique","6"
"Apayao","7"
"Aurora","8"
"Basilan","9"
"Bataan","10"
"Batanes","11"
"Batangas","12"
"Benguet","13"
"Biliran","14"
"Bohol","15"
"Bukidnon","16"
"Bulacan","17"
"Cagayan","18"
"Camarines Norte","19"
"Camarines Sur","20"
"Camiguin","21"
"Capiz","22"
"Catanduanes","23"
"Cavite","24"
"Cebu","25"
"Compostela Valley","26"
"Davao del Norte","27"
"Davao del Sur","28"
"Davao Oriental","29"
"Dinagat Islands","30"
"Eastern Samar","31"
"Guimaras","32"
"Ifugao","33"
"Ilocos Norte","34"
"Ilocos Sur","35"
"Iloilo","36"
"Isabela","37"
"Kalinga","38"
"La Union","39"
"Laguna","40"
"Lanao del Norte","41"
"Lanao del Sur","42"
"Leyte","43"
"Maguindanao","44"
"Marinduque","45"
"Masbate","46"
"Metropolitan Manila","47"
"Misamis Occidental","48"
"Misamis Oriental","49"
"Mountain Province","50"
"Negros Occidental","51"
"Negros Oriental","52"
"North Cotabato","53"
"Northern Samar","54"
"Nueva Ecija","55"
"Nueva Vizcaya","56"
"Occidental Mindoro","57"
"Oriental Mindoro","58"
"Palawan","59"
"Pampanga","60"
"Pangasinan","61"
"Quezon","62"
"Quirino","63"
"Rizal","64"
"Romblon","65"
"Samar","66"
"Sarangani","67"
"Siquijor","68"
"Sorsogon","69"
"South Cotabato","70"
"Southern Leyte","71"
"Sultan Kudarat","72"
"Sulu","73"
"Surigao del Norte","74"
"Surigao del Sur","75"
"Tarlac","76"
"Tawi-Tawi","77"
"Zambales","78"
"Zamboanga del Norte","79"
"Zamboanga del Sur","80"
"Zamboanga Sibugay","81"
