"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"PHL",2001,35165.19170445565,19609341.384335447
"PHL",2002,32309.189261615633,18240419.129687622
"PHL",2003,35154.20535135289,19864828.915587798
"PHL",2004,48579.06242709635,28578162.480577428
"PHL",2005,49781.58481480157,28667690.40696799
"PHL",2006,57428.52504839535,33273799.304359008
"PHL",2007,66498.02542142749,38524923.72374829
"PHL",2008,38702.70455170653,22863451.365872443
"PHL",2009,60889.62030792828,35325679.336809695
"PHL",2010,102649.43231558475,59144184.53809609
"PHL",2011,33252.86178407713,20331820.552359365
"PHL",2012,59586.54123127526,35626836.72122952
"PHL",2013,58871.14039933853,35722441.13599686
"PHL",2014,102456.18780278476,60866565.570343174
"PHL",2015,65895.64633830189,37470213.286123425
"PHL",2016,129109.70705168774,74072639.27609974
"PHL",2017,114280.59778671565,67077480.61419231
"PHL",2018,70533.5713228243,41579132.867147736
"PHL",2019,64038.61496134875,37995659.203959115
"PHL",2020,63727.597060106586,38138794.134915985
