"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"PHL",2001,1655.1398755332957,1171269.4333440296
"PHL",2002,3498.9174319733584,2412763.0350059844
"PHL",2003,4274.661990195971,2903759.4785128105
"PHL",2004,7078.3658283396,4864096.496116174
"PHL",2005,6332.62346172335,4274611.6628957065
"PHL",2006,7143.548762222136,4835492.230944564
"PHL",2007,8752.957277992802,5955621.912161006
"PHL",2008,5656.021201601256,3891465.9109052317
"PHL",2009,6946.297947552859,4762393.405782706
"PHL",2010,8879.949539530828,6063933.920710058
"PHL",2011,4919.429723149201,3438533.431346339
"PHL",2012,6889.407213672197,4871537.536283633
"PHL",2013,10835.45078695848,7472896.343951371
"PHL",2014,11483.657722034239,7948343.452994028
"PHL",2015,6477.384176781665,4389207.180188396
"PHL",2016,13386.934805723715,8937051.830503253
"PHL",2017,13698.305903293814,9300637.26640817
"PHL",2018,9222.177125436312,6233154.574904353
"PHL",2019,7585.917597185171,5167099.725221782
"PHL",2020,7750.90113270129,5251449.179496112
