"Category","Annual Mean","5-yr smooth"
"1901",3006.26,2774.14
"1902",2665.28,2782.54
"1903",2883.01,2793.83
"1904",2535.11,2810.9
"1905",2360.24,2836.63
"1906",3434.88,2873.92
"1907",2294.58,2924.31
"1908",3744.13,2980.26
"1909",3127.92,3030.46
"1910",2957.31,3063.56
"1911",3551.61,3068.23
"1912",2523.76,3034.59
"1913",2652.09,2970.81
"1914",2473.72,2897.13
"1915",3208.52,2834
"1916",3191.16,2801.89
"1917",3199.46,2820.36
"1918",2633.36,2885.93
"1919",2862.07,2970.77
"1920",2653.55,3045.86
"1921",3069.06,3082.19
"1922",2829.44,3051.04
"1923",3160.12,2946.39
"1924",3339.11,2800.21
"1925",2712.2,2648.13
"1926",2465.26,2525.74
"1927",2163.8,2468.64
"1928",2778.66,2497.37
"1929",2262.8,2591.66
"1930",2506.71,2724.33
"1931",3124.22,2868.21
"1932",3028.99,2996.13
"1933",2432.96,3085.41
"1934",4064.41,3133.76
"1935",3080.35,3144.72
"1936",3088.47,3121.83
"1937",3028.84,3068.63
"1938",2801.63,2989.54
"1939",3192.15,2895.85
"1940",2375.71,2802.1
"1941",2723.97,2722.86
"1942",2720.91,2672.67
"1943",2723,2664.92
"1944",2725.04,2695.97
"1945",2730.32,2749.37
"1946",2659.25,2808.36
"1947",3638.59,2856.19
"1948",2692.91,2876.45
"1949",2512.07,2864.36
"1950",2625.85,2828.84
"1951",2679.66,2779.67
"1952",2720.4,2726.57
"1953",3013.95,2679.27
"1954",2525.5,2643.86
"1955",2276.01,2619.61
"1956",3374.22,2605.05
"1957",2639.37,2598.69
"1958",2366.19,2599.06
"1959",2386.35,2604.65
"1960",2458.9,2613.92
"1961",2776.32,2625.29
"1962",2633.7,2637.21
"1963",2290.89,2648.12
"1964",3374.92,2656.89
"1965",2279.7,2664.72
"1966",3091.01,2673.59
"1967",2543.68,2685.43
"1968",2407.22,2702.21
"1969",2301.19,2725.25
"1970",2764.35,2750.13
"1971",3584.56,2769.39
"1972",2740.1,2775.55
"1973",2677.36,2761.12
"1974",3044.05,2719.24
"1975",2106.54,2654.22
"1976",2251.72,2579.73
"1977",2639.32,2509.74
"1978",2531.24,2458.21
"1979",2302.2,2438.87
"1980",2993.41,2455.66
"1981",2574.58,2499.48
"1982",2430.19,2560.32
"1983",2119.09,2628.18
"1984",2895.72,2693.08
"1985",2846.16,2745.78
"1986",3390.34,2778.75
"1987",1988.87,2784.61
"1988",2671.83,2756.03
"1989",2844.32,2685.67
"1990",2701.43,2573.49
"1991",2500.02,2445.22
"1992",2403.94,2332.22
"1993",2269.52,2265.84
"1994",1982.67,2277.45
"1995",2533.4,2389.5
"1996",2871.73,2571.56
"1997",2208.12,2773.73
"1998",2867.34,2946.1
"1999",3539.98,3038.76
"2000",3326.59,3007.69
"2001",2746.51,2870.84
"2002",2121.85,2683.14
"2003",2565.84,2500.02
"2004",2274.93,2376.9
"2005",2446.45,2366.73
"2006",2547.31,2470.84
"2007",2788.16,2641.83
"2008",3101.98,2830.4
"2009",2917.94,2987.21
"2010",2682.54,3063.54
"2011",3428.37,3042.38
"2012",2898.07,2954.01
"2013",2671.64,2832.58
"2014",2242.97,2712.22
"2015",2570.69,2627.05
"2016",2881.99,2598.81
"2017",3027.57,2619.61
"2018",2522.68,2677.19
"2019",3124.79,2759.29
"2020",2447.69,2853.64
120,2812.38,2829.33
121,2940.29,2795.32
122,2679.46,2769.49
123,2636.95,2760.02
124,2653.64,2775.09
125,3260.11,2822.89
126,2392.37,2908.67
127,3555.4,3017.93
128,2871.22,3127.89
129,2818.44,3215.77
130,4275.23,3258.76
131,2641.07,3236.53
132,2800.18,3158.6
133,3273.29,3054.57
134,3048.18,2954.4
135,2965.22,2888.03
136,3072.58,2884.3
137,2866.59,2942.85
138,3047.43,3032.47
139,2809.63,3120.47
140,3156.96,3174.16
141,2708.53,3161.15
142,3626.58,3072.46
143,3139.28,2938.3
144,2906.64,2792.59
145,2751.44,2669.29
146,2149.71,2602.32
147,2906.09,2611.59
148,2406.95,2679
149,2677.96,2780.01
150,3102.25,2890.12
151,3059.18,2984.78
152,2233.6,3043.97
153,3781.23,3068.14
154,3184.87,3063.53
155,3200.66,3036.43
156,3245.7,2993.1
157,2302.21,2939.87
158,2980.8,2883.59
159,2619.02,2831.34
160,2825.7,2790.19
161,2826.12,2767.23
162,2826.11,2768.84
163,2826.82,2791.37
164,2827.62,2823.6
165,2837.45,2854.14
166,3323.94,2871.59
167,2719.3,2864.83
168,2410.56,2831.58
169,2759.67,2780.03
170,2809.24,2718.97
171,2559.52,2657.22
172,2919.77,2603.55
173,2473.32,2563.81
174,2057.9,2538.32
175,3206.93,2526.82
176,2677.85,2529.03
177,2307.5,2544.67
178,2144.05,2573
179,2381.3,2611.91
180,3184.73,2659
181,3087.72,2711.87
182,2330.66,2768.14
183,3218.88,2825.06
184,2310.63,2878.14
185,2896.29,2922.28
186,2986.36,2952.4
187,3601.67,2963.43
188,2507.73,2951.01
189,2554.99,2917.48
190,3103.8,2868.69
191,3227.18,2810.53
192,2511.4,2748.91
193,3096.07,2689.61
194,2025.37,2636.5
195,2225.23,2591.9
196,3078.54,2558.03
197,2743.72,2537.15
198,2321.58,2531.45
199,2664.12,2541.8
200,2748.05,2567.28
201,2367.58,2606.83
202,2024.38,2659.41
203,2978.96,2723.93
204,3119.9,2795.11
205,3822.36,2858.66
206,1915.9,2899.17
207,2514.72,2901.21
208,3018.35,2849.36
209,2970.2,2737.6
210,2623.42,2592.89
211,2681.36,2449.43
212,2092.91,2341.43
213,2219.81,2303.08
214,2364.9,2360.18
215,2861.72,2488.51
216,2173.84,2645.47
217,2594.12,2788.47
218,3373.78,2874.86
219,2908.13,2866.77
220,2889.1,2775.98
221,2105.58,2643.88
222,2743.02,2512.29
223,2360.91,2423
224,2487.46,2415.99
225,2346.93,2493.06
226,2590.41,2619.93
227,3078.08,2760.93
228,3091.4,2880.38
229,2500.66,2943
230,3284.82,2935.75
231,2852.06,2878.76
232,2556.07,2794.84
233,2395.23,2706.81
234,2494.72,2637.47
235,2709.79,2601.6
236,2865.57,2594.78
237,2835.36,2609.73
238,3115.95,2639.21
239,2062.02,2675.95
240,2812.38,2829.33
241,2940.29,2795.32
242,2679.46,2769.49
243,2636.95,2760.02
244,2653.64,2775.09
245,3260.11,2822.89
246,2392.37,2908.67
247,3555.4,3017.93
248,2871.22,3127.89
249,2818.44,3215.77
250,4275.23,3258.76
251,2641.07,3236.53
252,2800.18,3158.6
253,3273.29,3054.57
254,3048.18,2954.4
255,2965.22,2888.03
256,3072.58,2884.3
257,2866.59,2942.85
258,3047.43,3032.47
259,2809.63,3120.47
260,3156.96,3174.16
261,2708.53,3161.15
262,3626.58,3072.46
263,3139.28,2938.3
264,2906.64,2792.59
265,2751.44,2669.29
266,2149.71,2602.32
267,2906.09,2611.59
268,2406.95,2679
269,2677.96,2780.01
270,3102.25,2890.12
271,3059.18,2984.78
272,2233.6,3043.97
273,3781.23,3068.14
274,3184.87,3063.53
275,3200.66,3036.43
276,3245.7,2993.1
277,2302.21,2939.87
278,2980.8,2883.59
279,2619.02,2831.34
280,2825.7,2790.19
281,2826.12,2767.23
282,2826.11,2768.84
283,2826.82,2791.37
