"Category","Annual Mean","5-yr smooth"
"1901",3091.39,2698.38
"1902",2513.89,2727.78
"1903",2499.06,2755.8
"1904",2961.15,2781.05
"1905",2120.61,2802.15
"1906",3220.31,2817.71
"1907",2260.09,2826.46
"1908",3777.79,2827.97
"1909",3118.35,2822.12
"1910",2739.76,2808.82
"1911",2512.83,2787.95
"1912",2609.33,2759.77
"1913",2489.38,2728.99
"1914",2623.84,2703.29
"1915",2783.56,2690.41
"1916",2929.58,2698.08
"1917",3071.63,2733.66
"1918",2651.74,2794.33
"1919",3036.89,2866.59
"1920",2629.71,2936.39
"1921",2478.25,2989.7
"1922",2582.36,3012.6
"1923",3404.27,2999.91
"1924",3886.79,2961.07
"1925",3024.61,2906.91
"1926",2647.97,2848.27
"1927",2641.94,2795.99
"1928",2319.89,2759.38
"1929",2873.43,2743.59
"1930",2697.71,2753.09
"1931",2872.14,2792.32
"1932",2771.53,2865.75
"1933",2659.42,2973.54
"1934",3854.33,3096.3
"1935",3124.66,3209.08
"1936",3078.07,3286.92
"1937",3554.81,3304.86
"1938",3066.3,3242.5
"1939",3117.95,3115.14
"1940",2829.31,2954.87
"1941",2662.24,2793.88
"1942",2662.24,2664.34
"1943",2662.24,2596.4
"1944",2662.24,2590.75
"1945",2662.24,2625.87
"1946",2618.25,2679.73
"1947",3376.23,2730.28
"1948",2562.74,2755.9
"1949",2057.21,2748.44
"1950",2901.14,2715.69
"1951",2499.25,2666.39
"1952",2720.82,2609.26
"1953",3106.67,2553.02
"1954",2202.65,2505.58
"1955",2140.98,2473.33
"1956",3043.25,2462.46
"1957",2089.2,2479.2
"1958",2579.03,2529.74
"1959",2285.91,2614.23
"1960",3283.21,2714.11
"1961",2829.51,2807.2
"1962",2771.36,2871.34
"1963",2381.98,2884.37
"1964",3190.71,2830.92
"1965",2393.11,2731.09
"1966",3414.29,2616.43
"1967",2548.12,2518.5
"1968",1776,2468.86
"1969",2094.85,2494.71
"1970",2902.52,2583.67
"1971",3300.2,2702.38
"1972",2941.1,2817.31
"1973",2490.63,2894.9
"1974",2976.15,2903.37
"1975",2615.67,2841.4
"1976",2587.19,2733.31
"1977",2640.13,2604.26
"1978",2858.17,2479.4
"1979",2321.45,2383.58
"1980",2585.07,2330.31
"1981",2333.23,2317.98
"1982",1963.63,2343.91
"1983",1805.75,2405.45
"1984",2682.56,2499.91
"1985",2829.16,2619.14
"1986",3670.11,2743.36
"1987",2169.28,2851.31
"1988",3097.04,2921.74
"1989",2702.83,2933.4
"1990",3230,2875.6
"1991",2327.36,2774.74
"1992",2488.25,2665.38
"1993",2704.11,2582.06
"1994",2588.24,2559.34
"1995",3381.39,2623.4
"1996",2359.05,2750.78
"1997",2405.47,2899.78
"1998",2891.87,3028.64
"1999",3424.2,3095.63
"2000",3844.72,3063.86
"2001",2446.6,2947.33
"2002",2418.14,2790.41
"2003",2598.76,2637.89
"2004",2671.3,2534.54
"2005",2531.52,2523.14
"2006",2653.17,2604.6
"2007",2848.33,2740.29
"2008",3001.7,2890.04
"2009",2969.58,3013.66
"2010",2612.99,3071.45
"2011",3581.86,3049.21
"2012",3085.05,2970.79
"2013",2614.04,2863.14
"2014",2474.68,2753.21
"2015",2402.09,2667.92
"2016",2657.58,2624.59
"2017",3037.51,2617.55
"2018",3083.41,2637.72
"2019",2481.49,2676.04
"2020",2487.18,2723.42
