"Category","Annual Mean","5-yr smooth"
"1901",2676.39,2691.81
"1902",2811.25,2677.61
"1903",2500.39,2670.22
"1904",2711.5,2676.44
"1905",2561.58,2703.08
"1906",3109.04,2756.94
"1907",2404.43,2842.31
"1908",3494.04,2946.22
"1909",2741.55,3048.54
"1910",2763.3,3129.13
"1911",4011.41,3167.83
"1912",2574.7,3146.72
"1913",2774.31,3075.23
"1914",3476.87,2981.15
"1915",2839.4,2892.57
"1916",2812.6,2837.62
"1917",2973.19,2843.32
"1918",2940.93,2908.49
"1919",3066.05,3002.17
"1920",2849.21,3091.94
"1921",2897.19,3145.41
"1922",2534.49,3130.49
"1923",3730.75,3038.65
"1924",3307.71,2900.88
"1925",2933.82,2751.92
"1926",2571.26,2626.52
"1927",2153.29,2559.4
"1928",2615.77,2571.03
"1929",2529.51,2643.11
"1930",2718.37,2750.81
"1931",3013.56,2869.28
"1932",2953.21,2973.7
"1933",2312.26,3043.49
"1934",3895.27,3077.45
"1935",3193.25,3079.9
"1936",3085.69,3055.16
"1937",3344.07,3007.56
"1938",2246.8,2941.98
"1939",2932.62,2867.83
"1940",2666.27,2796.61
"1941",2777.49,2739.85
"1942",2779.39,2709.05
"1943",2778.52,2714.65
"1944",2779.75,2751.17
"1945",2781.52,2801.16
"1946",2819.31,2846.91
"1947",3256.41,2870.68
"1948",2702.06,2855.19
"1949",2363.95,2797.55
"1950",2940.48,2711.92
"1951",2556.43,2613.45
"1952",2476.7,2517.29
"1953",2680.64,2438.53
"1954",2254.91,2386.76
"1955",1941.14,2361.18
"1956",3066.82,2359.82
"1957",2447.32,2380.72
"1958",2219.62,2421.92
"1959",1961.34,2480.5
"1960",2413.08,2550.53
"1961",3244.54,2625.53
"1962",2990,2699.01
"1963",2445.66,2764.47
"1964",3035.84,2816.38
"1965",2253.64,2854.24
"1966",2914.16,2879.13
"1967",2957.27,2892.17
"1968",3561.4,2894.45
"1969",2479.27,2887.05
"1970",2472.9,2870.8
"1971",2815.44,2846.42
"1972",3594.12,2814.6
"1973",2355.92,2776.05
"1974",3284.67,2731.57
"1975",1976.23,2683.42
"1976",2269.51,2635.13
"1977",3058.97,2590.25
"1978",2789.59,2552.35
"1979",2386.34,2524.96
"1980",2527.39,2510.92
"1981",2675.94,2512.16
"1982",2423.26,2530.54
"1983",1917.84,2567.9
"1984",2911.17,2626.06
"1985",2943.52,2700.8
"1986",3678.38,2775
"1987",1875.16,2829.92
"1988",2563.83,2846.81
"1989",2931.35,2806.93
"1990",2850.41,2701.83
"1991",2527.9,2559.24
"1992",2741.93,2414.84
"1993",2132.48,2304.32
"1994",2340.4,2263.35
"1995",2276.39,2319.05
"1996",2547.05,2447.72
"1997",2223.55,2606.99
"1998",2454.85,2754.45
"1999",3360.09,2847.7
"2000",3070.85,2848.92
"2001",2827.84,2768.4
"2002",2130.47,2645.16
"2003",2747.88,2518.59
"2004",2398.4,2428.09
"2005",2422.86,2411.37
"2006",2329.76,2471.41
"2007",2505.01,2578.3
"2008",3000.42,2700.89
"2009",3091.19,2807.97
"2010",2393.25,2868.74
"2011",3216.17,2870.94
"2012",2852.42,2830.07
"2013",2498.49,2763.88
"2014",2425.15,2690.14
"2015",2442.47,2626.57
"2016",2615.75,2584.92
"2017",2817.64,2562.49
"2018",2957.94,2554.47
"2019",2942.68,2556.07
"2020",1944.59,2562.47
