"Category","Annual Mean","5-yr smooth"
"1901",3006.26,2774.14
"1902",2665.28,2782.54
"1903",2883.01,2793.83
"1904",2535.11,2810.9
"1905",2360.24,2836.63
"1906",3434.88,2873.92
"1907",2294.58,2924.31
"1908",3744.13,2980.26
"1909",3127.92,3030.46
"1910",2957.31,3063.56
"1911",3551.61,3068.23
"1912",2523.76,3034.59
"1913",2652.09,2970.81
"1914",2473.72,2897.13
"1915",3208.52,2834
"1916",3191.16,2801.89
"1917",3199.46,2820.36
"1918",2633.36,2885.93
"1919",2862.07,2970.77
"1920",2653.55,3045.86
"1921",3069.06,3082.19
"1922",2829.44,3051.04
"1923",3160.12,2946.39
"1924",3339.11,2800.21
"1925",2712.2,2648.13
"1926",2465.26,2525.74
"1927",2163.8,2468.64
"1928",2778.66,2497.37
"1929",2262.8,2591.66
"1930",2506.71,2724.33
"1931",3124.22,2868.21
"1932",3028.99,2996.13
"1933",2432.96,3085.41
"1934",4064.41,3133.76
"1935",3080.35,3144.72
"1936",3088.47,3121.83
"1937",3028.84,3068.63
"1938",2801.63,2989.54
"1939",3192.15,2895.85
"1940",2375.71,2802.1
"1941",2723.97,2722.86
"1942",2720.91,2672.67
"1943",2723,2664.92
"1944",2725.04,2695.97
"1945",2730.32,2749.37
"1946",2659.25,2808.36
"1947",3638.59,2856.19
"1948",2692.91,2876.45
"1949",2512.07,2864.36
"1950",2625.85,2828.84
"1951",2679.66,2779.67
"1952",2720.4,2726.57
"1953",3013.95,2679.27
"1954",2525.5,2643.86
"1955",2276.01,2619.61
"1956",3374.22,2605.05
"1957",2639.37,2598.69
"1958",2366.19,2599.06
"1959",2386.35,2604.65
"1960",2458.9,2613.92
"1961",2776.32,2625.29
"1962",2633.7,2637.21
"1963",2290.89,2648.12
"1964",3374.92,2656.89
"1965",2279.7,2664.72
"1966",3091.01,2673.59
"1967",2543.68,2685.43
"1968",2407.22,2702.21
"1969",2301.19,2725.25
"1970",2764.35,2750.13
"1971",3584.56,2769.39
"1972",2740.1,2775.55
"1973",2677.36,2761.12
"1974",3044.05,2719.24
"1975",2106.54,2654.22
"1976",2251.72,2579.73
"1977",2639.32,2509.74
"1978",2531.24,2458.21
"1979",2302.2,2438.87
"1980",2993.41,2455.66
"1981",2574.58,2499.48
"1982",2430.19,2560.32
"1983",2119.09,2628.18
"1984",2895.72,2693.08
"1985",2846.16,2745.78
"1986",3390.34,2778.75
"1987",1988.87,2784.61
"1988",2671.83,2756.03
"1989",2844.32,2685.67
"1990",2701.43,2573.49
"1991",2500.02,2445.22
"1992",2403.94,2332.22
"1993",2269.52,2265.84
"1994",1982.67,2277.45
"1995",2533.4,2389.5
"1996",2871.73,2571.56
"1997",2208.12,2773.73
"1998",2867.34,2946.1
"1999",3539.98,3038.76
"2000",3326.59,3007.69
"2001",2746.51,2870.84
"2002",2121.85,2683.14
"2003",2565.84,2500.02
"2004",2274.93,2376.9
"2005",2446.45,2366.73
"2006",2547.31,2470.84
"2007",2788.16,2641.83
"2008",3101.98,2830.4
"2009",2917.94,2987.21
"2010",2682.54,3063.54
"2011",3428.37,3042.38
"2012",2898.07,2954.01
"2013",2671.64,2832.58
"2014",2242.97,2712.22
"2015",2570.69,2627.05
"2016",2881.99,2598.81
"2017",3027.57,2619.61
"2018",2522.68,2677.19
"2019",3124.79,2759.29
"2020",2447.69,2853.64
