"Category","Annual Mean","5-yr smooth"
"1901",2688.2,2510.12
"1902",2547.56,2568.57
"1903",2292.52,2625.79
"1904",2926.23,2680.54
"1905",2354.58,2731.6
"1906",3154.26,2777.73
"1907",2330.27,2817.52
"1908",3505.68,2848.4
"1909",2835.19,2867.29
"1910",2740.02,2871.11
"1911",2972.38,2856.79
"1912",2460.28,2822.06
"1913",2610.91,2774.76
"1914",3127.28,2729.45
"1915",2661.59,2700.83
"1916",2633.16,2703.6
"1917",2994.99,2751.73
"1918",2821.1,2840.38
"1919",3187.36,2944.81
"1920",2762.75,3039.34
"1921",2469.14,3098.27
"1922",2539.64,3096.19
"1923",3748.17,3026.72
"1924",3635.34,2915.46
"1925",3097.99,2791.08
"1926",2304.69,2682.2
"1927",2468.4,2617.47
"1928",2252.06,2614.87
"1929",2762.19,2663.47
"1930",2697.46,2747.43
"1931",2942.23,2850.94
"1932",2876.86,2958.17
"1933",2615.23,3054.48
"1934",3868.86,3130.5
"1935",3325.74,3178.37
"1936",2926.64,3190.25
"1937",3486.64,3158.27
"1938",2610.46,3077.1
"1939",3004.62,2961.09
"1940",2776.45,2833.82
"1941",2677.35,2718.95
"1942",2677.35,2640.14
"1943",2677.35,2619.2
"1944",2677.35,2651.54
"1945",2677.35,2712.68
"1946",2745.27,2777.66
"1947",3272.6,2821.53
"1948",2809.53,2819.89
"1949",2153.32,2767.01
"1950",2888.85,2679.24
"1951",2380.89,2574.21
"1952",2615.11,2469.55
"1953",2683.93,2382.85
"1954",2131.74,2325.95
"1955",1966.38,2299.95
"1956",2946.46,2304.72
"1957",2081.65,2340.16
"1958",2488.58,2406.14
"1959",1998.13,2498.97
"1960",2855.13,2603.89
"1961",2971.58,2704
"1962",2793.06,2782.41
"1963",2558.94,2822.23
"1964",2940.52,2811.35
"1965",2456.48,2762.52
"1966",3162.74,2696.57
"1967",2685.25,2634.3
"1968",2348.07,2596.54
"1969",2209.44,2601.43
"1970",2714.88,2642.94
"1971",2894.73,2702.26
"1972",3463.7,2760.43
"1973",2326.28,2798.51
"1974",3109.84,2798.52
"1975",2085.76,2759.43
"1976",2654.34,2694.47
"1977",2641.23,2617.31
"1978",2920.88,2541.64
"1979",2431.65,2481
"1980",2551.28,2443.52
"1981",2418.47,2430.14
"1982",2430.22,2441.3
"1983",1808.16,2477.44
"1984",2907.25,2538.97
"1985",2766.59,2620.7
"1986",3436.81,2705.5
"1987",1918.21,2774.74
"1988",2784.49,2809.77
"1989",2780.63,2791.96
"1990",2924.28,2712.52
"1991",2379.77,2597.31
"1992",2661.29,2479.77
"1993",2487,2393.37
"1994",2419.51,2371.53
"1995",2683.38,2439.46
"1996",2242.94,2573.26
"1997",2494.92,2731
"1998",2419.07,2870.73
"1999",3440.01,2950.49
"2000",3610.23,2933.06
"2001",2527.13,2830.95
"2002",2266.5,2686.35
"2003",2691.97,2541.85
"2004",2456.44,2440.02
"2005",2383.47,2421.6
"2006",2457.99,2488.99
"2007",2596.23,2608.31
"2008",2890.97,2744.29
"2009",3120.1,2861.66
"2010",2440.72,2925.52
"2011",3343.13,2922.3
"2012",2909.58,2870.17
"2013",2525.86,2789.92
"2014",2449.94,2702.32
"2015",2412.04,2628.13
"2016",2584.84,2580.99
"2017",2869.86,2557.5
"2018",3061.42,2551.75
"2019",2628.55,2557.83
"2020",2127.39,2569.82
