"Category","Annual Mean","5-yr smooth"
"1901",1686.46,1715.22
"1902",1845.31,1758.32
"1903",1703.67,1797.35
"1904",2111.51,1828.26
"1905",1586.01,1846.97
"1906",1684.31,1849.43
"1907",1700.43,1832.67
"1908",1996.33,1801.23
"1909",1854.37,1762.76
"1910",2124.46,1724.93
"1911",1491.07,1695.41
"1912",1653.78,1681.44
"1913",1754.89,1684.99
"1914",1205.54,1704.49
"1915",1472.03,1738.31
"1916",2268.8,1784.83
"1917",2189.67,1842.32
"1918",1962.71,1906.41
"1919",1723.43,1969.94
"1920",1641.39,2025.64
"1921",2336.94,2066.22
"1922",2080.23,2084.46
"1923",1974.89,2078.79
"1924",2155.52,2057.1
"1925",2079.63,2028.14
"1926",2187.17,2000.71
"1927",1850.01,1983.57
"1928",1983.07,1982.24
"1929",2146.94,1993.42
"1930",1670.68,2012.31
"1931",1874.93,2034.13
"1932",2050.03,2054.07
"1933",2224.78,2067.68
"1934",2516,2071.98
"1935",1878.66,2064.45
"1936",1925.15,2042.55
"1937",1943.72,2003.73
"1938",1992.82,1946.39
"1939",2052.33,1876.23
"1940",1562.46,1802.35
"1941",1686.46,1733.9
"1942",1686.46,1680.01
"1943",1686.46,1649.33
"1944",1686.46,1643.34
"1945",1686.46,1658.16
"1946",1686.46,1689.77
"1947",1905.34,1734.14
"1948",1681.94,1787.21
"1949",1869.44,1843.28
"1950",1818.09,1894.78
"1951",1754.95,1934
"1952",2109.46,1953.23
"1953",1748.93,1944.83
"1954",1910.23,1907.81
"1955",1965.15,1853.7
"1956",2279.32,1795.41
"1957",1519.88,1745.86
"1958",1496.55,1717.97
"1959",1735.29,1718.88
"1960",1906.42,1738.04
"1961",1543.42,1761.43
"1962",1843.28,1775.07
"1963",1477.51,1764.95
"1964",1906.18,1721.3
"1965",1817.63,1656.3
"1966",1688.97,1589.21
"1967",1696.31,1539.33
"1968",1255.01,1525.93
"1969",1301.8,1565.24
"1970",1723.18,1645.9
"1971",2053.11,1741.91
"1972",1698.56,1827.15
"1973",1833.9,1875.48
"1974",1761.2,1862.4
"1975",1978.53,1791.38
"1976",1747.85,1689.5
"1977",1443.53,1584.57
"1978",1372.95,1504.41
"1979",1439.95,1476.32
"1980",1909.06,1507.41
"1981",1497.84,1577.84
"1982",1420.84,1665.96
"1983",1652.98,1750.09
"1984",2110.81,1808.62
"1985",1852.54,1828.66
"1986",1804.54,1815.96
"1987",1360.07,1778.63
"1988",1940.62,1724.77
"1989",1859.33,1662.5
"1990",1752.61,1600.29
"1991",1343.57,1547.82
"1992",1208.91,1515.08
"1993",1607.87,1512.03
"1994",1557.16,1548.64
"1995",1983.27,1631.41
"1996",2018.73,1746.22
"1997",1495.16,1871.38
"1998",1353.72,1985.19
"1999",2475.38,2065.96
"2000",2067.06,2094.32
"2001",2357.51,2075.67
"2002",1908.29,2030.16
"2003",2224.91,1978.13
"2004",1754.48,1939.93
"2005",1809.8,1935.09
"2006",1866.69,1966.17
"2007",1991.7,2019.72
"2008",2512.78,2081.65
"2009",1973.23,2137.86
"2010",1781.31,2174.42
"2011",2491.54,2185.19
"2012",2337.41,2175.69
"2013",2151.62,2152.37
"2014",1983.91,2121.7
"2015",1823.97,2090.13
"2016",1965.48,2062.18
"2017",2540.54,2037.67
"2018",2094.25,2015.74
"2019",1697.51,1995.53
"2020",2029.04,1976.18
