"Category","Annual Mean","5-yr smooth"
"1901",2640.63,2573.53
"1902",2829.64,2619.74
"1903",2257.53,2662.53
"1904",3269.03,2698.49
"1905",2062.27,2724.22
"1906",2353.14,2736.29
"1907",2778.79,2731.92
"1908",3159.86,2712.63
"1909",2801.54,2681.71
"1910",3457.73,2642.47
"1911",2229.99,2598.21
"1912",2243.86,2552.52
"1913",2635.62,2512.66
"1914",1700.26,2488.29
"1915",2103.78,2489.13
"1916",3381.76,2524.91
"1917",2919.82,2604.76
"1918",3003.12,2723.04
"1919",2342.26,2858.45
"1920",2533.44,2988.93
"1921",3722.4,3092.42
"1922",2919.17,3147.05
"1923",2947.53,3144.9
"1924",3285.48,3101.39
"1925",3089.72,3034.18
"1926",3161.24,2960.91
"1927",2575.41,2899.24
"1928",3032.4,2861.37
"1929",3163.95,2844.68
"1930",2466.16,2844.09
"1931",2365.29,2854.49
"1932",3157.89,2870.78
"1933",2652.46,2888.19
"1934",3918.93,2903.45
"1935",2486.89,2913.69
"1936",2927.61,2916.07
"1937",2447.23,2907.74
"1938",2963.04,2886.3
"1939",3426.84,2853.11
"1940",2515.96,2811.26
"1941",2639.6,2763.83
"1942",2639.6,2713.93
"1943",2639.6,2664.76
"1944",2639.6,2620.82
"1945",2639.6,2587.66
"1946",2639.31,2570.81
"1947",3037.92,2575.82
"1948",2456.65,2607.98
"1949",2378.76,2664
"1950",2628.96,2730.41
"1951",2670.79,2793.18
"1952",3002.48,2838.26
"1953",2713.4,2851.68
"1954",2670.36,2828.44
"1955",2913.99,2780.44
"1956",3502.76,2721.43
"1957",2328.31,2665.18
"1958",2493.48,2625.44
"1959",2680.75,2610.67
"1960",2612.52,2612.91
"1961",2147.94,2621.08
"1962",2687.93,2624.06
"1963",2495.49,2610.77
"1964",2714.92,2573.54
"1965",2978.51,2522.56
"1966",2511.13,2473.79
"1967",2625.68,2443.21
"1968",2013.04,2446.8
"1969",1862.85,2497.78
"1970",2877.24,2584.63
"1971",3296.89,2682.69
"1972",2765.73,2767.17
"1973",2541.87,2813.31
"1974",2594.01,2797.91
"1975",2873.76,2725.06
"1976",2814.16,2621.89
"1977",2276.05,2516.24
"1978",2496.04,2435.96
"1979",2128.97,2408.42
"1980",2867.85,2441.59
"1981",2574.68,2517.65
"1982",2388.86,2616.99
"1983",2667.68,2720.01
"1984",2972.03,2807.15
"1985",2837.48,2864.4
"1986",2949.92,2889.61
"1987",2399.97,2882.13
"1988",3067.39,2841.34
"1989",3306.35,2766.59
"1990",2495.81,2662.27
"1991",2487.81,2550.43
"1992",1809.98,2457.01
"1993",2638.83,2407.94
"1994",2505.19,2429.15
"1995",3047.43,2539.28
"1996",3221.89,2713.67
"1997",2157.56,2911.74
"1998",2149.13,3092.88
"1999",3717.97,3216.48
"2000",3548.84,3246.35
"2001",3693.8,3192.53
"2002",2810.33,3092.65
"2003",3025.65,2984.71
"2004",2566.21,2906.73
"2005",2850.93,2895.13
"2006",2962.82,2953.72
"2007",3034.73,3055.48
"2008",3786.78,3172.17
"2009",3141.43,3275.57
"2010",2577.58,3337.74
"2011",3915.12,3346.95
"2012",3468.76,3315.62
"2013",3128.6,3258.12
"2014",3080.08,3188.85
"2015",2768.62,3122.18
"2016",2669.8,3067.9
"2017",3867.42,3024.84
"2018",3598.76,2990.18
"2019",2188.12,2961.13
"2020",2997.46,2934.88
