"Category","Annual Mean","5-yr smooth"
"1901",2087.53,1869.34
"1902",1972.08,2023.26
"1903",1906.54,2167.6
"1904",2500.21,2292.79
"1905",2082.88,2389.26
"1906",2283.89,2447.42
"1907",2510.51,2459.8
"1908",2556.04,2433.28
"1909",2546.56,2380.7
"1910",2995.28,2314.91
"1911",2018.92,2248.77
"1912",1844.47,2194.53
"1913",2102.1,2157.09
"1914",1638.65,2136.4
"1915",2052.65,2132.31
"1916",2877.89,2144.69
"1917",2147.87,2173.26
"1918",2370.99,2214.23
"1919",2013.18,2260.11
"1920",1869.61,2303.22
"1921",2677.67,2335.9
"1922",2519.91,2350.52
"1923",2199.28,2343.98
"1924",2282.23,2320.67
"1925",2154.77,2285.73
"1926",2446.11,2244.29
"1927",2274.34,2201.46
"1928",2211.16,2161.62
"1929",2291.63,2127.09
"1930",1751.68,2099.84
"1931",1712.29,2081.84
"1932",2139.81,2075.08
"1933",2206.37,2080.53
"1934",2707.67,2094.65
"1935",1847.42,2112.58
"1936",2060.66,2129.49
"1937",2036.22,2140.54
"1938",2167.97,2141.52
"1939",2297.31,2133.06
"1940",1873.66,2118.09
"1941",2087.53,2099.57
"1942",2087.53,2080.43
"1943",2087.53,2063.61
"1944",2087.53,2051.95
"1945",2087.53,2048.24
"1946",2087.53,2055.25
"1947",2288.87,2075.76
"1948",1706.09,2112.35
"1949",2473.42,2161.44
"1950",2165.17,2212.17
"1951",2009.36,2253.25
"1952",2310.56,2273.38
"1953",2185.53,2261.35
"1954",2165.62,2215.44
"1955",2337.32,2151.77
"1956",2578.76,2088.43
"1957",1800.13,2043.53
"1958",1688.85,2035.16
"1959",2116.38,2072.72
"1960",2096.85,2138.69
"1961",2254.64,2210.4
"1962",2497.17,2265.18
"1963",2140.96,2280.35
"1964",2190.85,2239.48
"1965",2419.71,2158.71
"1966",1940.78,2064.69
"1967",1841.05,1984.1
"1968",1762.1,1943.6
"1969",1851.94,1966.06
"1970",2339.07,2040.03
"1971",2533.66,2135.85
"1972",2062.1,2223.7
"1973",2071.3,2273.75
"1974",2182.43,2257.97
"1975",2438.91,2179.03
"1976",1837.87,2065.53
"1977",1884.98,1946.84
"1978",1850.31,1852.37
"1979",1796.46,1811.01
"1980",2107.48,1830.71
"1981",1920.89,1891.59
"1982",1859.34,1971.86
"1983",1850.84,2049.74
"1984",2139.36,2103.46
"1985",2311.61,2120.1
"1986",2108.87,2105.42
"1987",1757.67,2067.58
"1988",2159.19,2014.73
"1989",2273.32,1955.04
"1990",1932.94,1896.75
"1991",1525.49,1848.41
"1992",1448.01,1818.65
"1993",2079.08,1816.07
"1994",1989.82,1849.3
"1995",2275.6,1923.88
"1996",2087.49,2027.01
"1997",1846.05,2139.19
"1998",1459.26,2240.89
"1999",2828.89,2312.57
"2000",2568.61,2337
"2001",2304.75,2320.9
"2002",2152.68,2285.26
"2003",2529.4,2251.3
"2004",2149.3,2240.22
"2005",2331.88,2272.19
"2006",2005.31,2345.63
"2007",2454.1,2438.45
"2008",2778.42,2527.75
"2009",2367.68,2590.63
"2010",2569.58,2604.48
"2011",2898.39,2562.59
"2012",2443.53,2481.97
"2013",2359.44,2381.55
"2014",2179.7,2280.27
"2015",1936.53,2197.03
"2016",1942.03,2143.99
"2017",2772.97,2117
"2018",2155.66,2109.56
"2019",1852.59,2115.16
"2020",2133.62,2127.27
