"Category","Annual Mean","5-yr smooth"
"1901",1633.89,1508.93
"1902",1594.72,1594.97
"1903",1461.86,1675.28
"1904",1889.38,1744.16
"1905",1625.75,1795.88
"1906",1783.87,1824.71
"1907",1817.36,1826.33
"1908",1771.36,1805.77
"1909",1943.82,1771.99
"1910",2237.31,1733.96
"1911",1471.94,1700.64
"1912",1465.03,1680.43
"1913",1636.52,1674.7
"1914",1389.69,1680.12
"1915",1636.55,1693.27
"1916",2184.38,1710.72
"1917",1800.78,1729.11
"1918",1772.79,1746.16
"1919",1590.07,1760.76
"1920",1400.22,1771.87
"1921",2066.82,1778.45
"1922",1882.46,1779.45
"1923",1724.37,1774.61
"1924",1708.76,1764.9
"1925",1671.89,1751.44
"1926",1890.06,1735.34
"1927",1802.21,1717.72
"1928",1773.85,1699.8
"1929",1709.2,1683.17
"1930",1348.95,1669.45
"1931",1433.83,1660.29
"1932",1689.54,1657.3
"1933",1829.91,1661.41
"1934",2124.03,1670.33
"1935",1493.34,1680.82
"1936",1617.16,1689.66
"1937",1559.4,1693.64
"1938",1751.2,1689.97
"1939",1763.37,1679.49
"1940",1540.48,1664.69
"1941",1633.89,1648.07
"1942",1633.89,1632.16
"1943",1633.89,1619.44
"1944",1633.89,1612
"1945",1633.89,1611.66
"1946",1633.89,1620.23
"1947",1792.16,1639.5
"1948",1386.96,1671.14
"1949",1953.28,1712.19
"1950",1748.21,1754.21
"1951",1548.29,1788.45
"1952",1874.01,1806.14
"1953",1701.15,1798.61
"1954",1713.3,1764.25
"1955",1938.4,1714.91
"1956",2011.96,1663.86
"1957",1390.01,1624.43
"1958",1339.97,1609.91
"1959",1674.1,1627.48
"1960",1695.78,1665.46
"1961",1736.47,1708.55
"1962",1904.38,1741.42
"1963",1544.54,1748.77
"1964",1731.28,1719.59
"1965",1852.19,1665.23
"1966",1570.02,1604.33
"1967",1463.07,1555.49
"1968",1389.63,1537.35
"1969",1471.23,1565.68
"1970",1854.4,1630.88
"1971",2011.44,1709.8
"1972",1568.15,1779.21
"1973",1715.69,1815.86
"1974",1701.12,1797.93
"1975",1969.57,1728.35
"1976",1490.09,1630.92
"1977",1505.86,1530.08
"1978",1447.15,1450.27
"1979",1402.13,1415.52
"1980",1619.71,1432.3
"1981",1451.84,1483.82
"1982",1416.7,1551.65
"1983",1550.06,1617.37
"1984",1739.62,1662.59
"1985",1811.1,1676.49
"1986",1619.59,1664.21
"1987",1379.37,1632.96
"1988",1742.07,1589.94
"1989",1768.94,1542.37
"1990",1554.78,1497.21
"1991",1170.16,1460.59
"1992",1195.53,1438.47
"1993",1593.33,1436.78
"1994",1594.1,1461.48
"1995",1775.05,1516.4
"1996",1674.45,1592.77
"1997",1371.38,1677.19
"1998",1210.4,1756.27
"1999",2228.43,1816.6
"2000",2029,1846.27
"2001",1917.36,1848.98
"2002",1631.23,1837.75
"2003",2007.71,1825.72
"2004",1700.78,1826.04
"2005",1929.41,1851.17
"2006",1682.54,1899.87
"2007",2017.33,1957.87
"2008",2244.04,2010.4
"2009",1824.75,2042.7
"2010",2072.18,2040.2
"2011",2091.39,1999.16
"2012",1919.7,1931.95
"2013",1929.76,1852.27
"2014",1660.38,1773.82
"2015",1479.27,1710.26
"2016",1546.89,1670.3
"2017",2194.98,1650.62
"2018",1644.85,1646.16
"2019",1445.79,1651.83
"2020",1671.09,1662.57
