"Category","Annual Mean","5-yr smooth"
"1901",2253.63,2055.97
"1902",2034.59,2083.44
"1903",1814.59,2109.34
"1904",2348.39,2132.09
"1905",1854.34,2150.12
"1906",2235.37,2161.86
"1907",2083.63,2166.11
"1908",2378.58,2164.28
"1909",2263.65,2158.85
"1910",2413.45,2152.29
"1911",1914.77,2147.1
"1912",2136.54,2145.67
"1913",2043.32,2149.42
"1914",1920.31,2159.07
"1915",2063.08,2175.36
"1916",2517.33,2199.02
"1917",2675.2,2230.7
"1918",2057.53,2268.91
"1919",2112.26,2309.97
"1920",2166.77,2350.06
"1921",2470.96,2385.36
"1922",2341.34,2412.09
"1923",2512.36,2427.7
"1924",2571.8,2431.76
"1925",2530.47,2424.03
"1926",2383.73,2404.28
"1927",2311.01,2372.28
"1928",2105.38,2330.24
"1929",2529.64,2287.01
"1930",2043.6,2252.56
"1931",2303.19,2236.85
"1932",2181.59,2249.86
"1933",2315.45,2297.48
"1934",2768.34,2367.01
"1935",2177.52,2440.48
"1936",2311.7,2499.9
"1937",2560.9,2527.3
"1938",2620.91,2507.43
"1939",2690.57,2446.35
"1940",2164.39,2360.17
"1941",2130.83,2265.06
"1942",2131.11,2177.17
"1943",2131.05,2111.91
"1944",2131.07,2073.73
"1945",2131.16,2058.88
"1946",2120.58,2063.35
"1947",2219.06,2083.18
"1948",1984.48,2114.37
"1949",2001.22,2152.16
"1950",2078.41,2190.91
"1951",2242.65,2224.93
"1952",2576.11,2248.54
"1953",2162.15,2256.07
"1954",2229.28,2246.21
"1955",1928.31,2225.77
"1956",2725.73,2202.48
"1957",1807.6,2184.06
"1958",2210.11,2178.24
"1959",2082.98,2189.16
"1960",2566.12,2209.95
"1961",2053.49,2231.59
"1962",2405.6,2245.1
"1963",1891.55,2241.45
"1964",2286.54,2214.26
"1965",2272.11,2170.63
"1966",2361.77,2122.07
"1967",2079.56,2080.08
"1968",1590.93,2056.16
"1969",1915.54,2060.23
"1970",2345.17,2088.07
"1971",2575.9,2127.93
"1972",1973.15,2167.99
"1973",2156.87,2196.42
"1974",2127.59,2202.05
"1975",2069.8,2184.4
"1976",2117.37,2152.05
"1977",2138.02,2113.87
"1978",2176.53,2078.74
"1979",2211.6,2055.39
"1980",2110.02,2047.58
"1981",1940.58,2052.47
"1982",1904.49,2066.73
"1983",1812.21,2087.04
"1984",2346.78,2110.09
"1985",2248.18,2132.32
"1986",2314.36,2149.67
"1987",1851.58,2158.01
"1988",2371.49,2153.22
"1989",2233.2,2131.17
"1990",2085.03,2091.09
"1991",1786.74,2044.04
"1992",1815.98,2003.66
"1993",2076.52,1983.6
"1994",2032.32,1997.51
"1995",2557.76,2055.14
"1996",2040.94,2143.27
"1997",1770.07,2240.18
"1998",2237.06,2324.16
"1999",2576.68,2373.51
"2000",2756.99,2368.97
"2001",2173.22,2317.35
"2002",2024.88,2240.96
"2003",2100.59,2162.32
"2004",2135.74,2103.97
"2005",2119.92,2087.49
"2006",2207.88,2114.63
"2007",2134.49,2168.45
"2008",2342.42,2231.26
"2009",2280.14,2285.38
"2010",1971.86,2313.32
"2011",2587.41,2308.44
"2012",2347.77,2280.21
"2013",2180.22,2239.45
"2014",2140.65,2196.97
"2015",2017.86,2163.57
"2016",2066.96,2146.23
"2017",2355.83,2142.82
"2018",2349.22,2149.86
"2019",2041.71,2163.86
"2020",2116.69,2181.35
