"Category","Annual Mean","5-yr smooth"
"1901",1863.48,1826.71
"1902",1971.29,1840.88
"1903",1641.74,1853.75
"1904",1983.18,1864.03
"1905",1706.03,1870.41
"1906",1806.69,1871.6
"1907",1803.63,1866.71
"1908",1850.73,1857.61
"1909",2029.91,1847.32
"1910",2404.46,1838.85
"1911",1571.42,1835.24
"1912",1637.84,1839.3
"1913",1828.01,1851.38
"1914",1588.21,1870.18
"1915",1706.83,1894.37
"1916",2357.45,1922.6
"1917",2164.19,1953.53
"1918",2043.11,1985.1
"1919",1862.24,2014.52
"1920",1578.72,2039
"1921",2382.17,2055.71
"1922",2113.53,2061.87
"1923",2055.66,2057.02
"1924",1901.29,2044.59
"1925",2016.69,2028.39
"1926",2207.25,2012.2
"1927",2098.27,1999.84
"1928",2076.11,1993.85
"1929",1987.61,1993.45
"1930",1613.31,1997.26
"1931",1720.34,2003.92
"1932",2081.17,2012.06
"1933",2254.63,2020.22
"1934",2546.52,2026.46
"1935",1798.3,2028.74
"1936",1944.82,2025
"1937",1791,2013.16
"1938",2126.45,1991.66
"1939",2055.34,1962.6
"1940",1798,1929.82
"1941",1866.16,1897.18
"1942",1863.48,1868.55
"1943",1863.48,1847.66
"1944",1863.48,1836.81
"1945",1863.48,1837.12
"1946",1863.48,1849.73
"1947",2030.15,1875.76
"1948",1711.29,1916.18
"1949",2118.08,1967.34
"1950",2021.51,2020.06
"1951",1820.66,2064.87
"1952",2176.89,2092.27
"1953",1903.33,2092.86
"1954",2047.42,2064.43
"1955",2329.8,2018.38
"1956",2394.08,1967.65
"1957",1586.62,1925.13
"1958",1562.76,1903.75
"1959",1970.48,1910.67
"1960",2077.49,1935.31
"1961",1891.08,1963.66
"1962",2194.03,1981.73
"1963",1731.27,1975.51
"1964",2032.04,1935.19
"1965",1949.18,1872.64
"1966",1800.69,1806.8
"1967",1723.74,1756.58
"1968",1565.17,1740.89
"1969",1659.93,1775.74
"1970",2073.42,1850.64
"1971",2282.3,1941.06
"1972",1757.15,2022.35
"1973",2005.69,2069.84
"1974",1943.23,2060.38
"1975",2254.32,1996.25
"1976",1811.54,1901.25
"1977",1681.73,1799.86
"1978",1723.23,1716.54
"1979",1665.21,1675.34
"1980",1939.9,1683.31
"1981",1695.12,1724.88
"1982",1526.9,1782.94
"1983",1806.5,1840.36
"1984",2082.25,1880.06
"1985",1964.21,1891.79
"1986",1834.69,1879.87
"1987",1509.9,1850.47
"1988",2014.9,1809.75
"1989",1941.04,1763.89
"1990",1900.56,1719.35
"1991",1380.79,1683.67
"1992",1402.81,1664.62
"1993",1719.79,1669.95
"1994",1914.56,1707.45
"1995",1986.3,1782.08
"1996",2097.51,1882.27
"1997",1626.45,1990.34
"1998",1518.86,2088.64
"1999",2603.85,2159.47
"2000",2230.92,2187.21
"2001",2353.34,2177.51
"2002",1989.02,2148.8
"2003",2340.68,2119.63
"2004",1892.72,2108.59
"2005",2138.4,2133.33
"2006",2041.53,2192.76
"2007",2350.51,2268.05
"2008",2599.18,2339.65
"2009",2199.19,2388.04
"2010",2331.27,2393.94
"2011",2390.24,2351.82
"2012",2374.48,2276.61
"2013",2301.93,2184.95
"2014",1911,2093.46
"2015",1752.54,2018.75
"2016",1860.86,1971.41
"2017",2577.55,1947.67
"2018",1893.38,1941.63
"2019",1701.83,1947.39
"2020",1996.1,1959.05
