"Category","Annual Mean","5-yr smooth"
"1901",3525.5,2940.19
"1902",2592.23,2942.4
"1903",2652.11,2944.31
"1904",3116.71,2945.64
"1905",2037.97,2946.08
"1906",3394.47,2945.34
"1907",2336.29,2943.09
"1908",3964.79,2938.67
"1909",3477.34,2931.33
"1910",3179.74,2920.28
"1911",2285.01,2904.77
"1912",2681.07,2884.33
"1913",2598.57,2862.44
"1914",2477.18,2845.17
"1915",2993.37,2838.67
"1916",3300.94,2849.06
"1917",3409.43,2882.15
"1918",2591.01,2935.46
"1919",3043.22,2997.72
"1920",2803.58,3057.27
"1921",2693.82,3102.4
"1922",2890.27,3121.55
"1923",3310.62,3110.13
"1924",3909.69,3075.38
"1925",3101.98,3025.64
"1926",2833.45,2969.24
"1927",2695.29,2914.52
"1928",2632.9,2869.78
"1929",2887.58,2843.2
"1930",2771.82,2842.91
"1931",2964.28,2877.07
"1932",2857.74,2953.82
"1933",2837.66,3075.68
"1934",3955.11,3219.39
"1935",3115.67,3354.37
"1936",3245.88,3450.03
"1937",3768.95,3475.81
"1938",3344.94,3406.52
"1939",3326.35,3259.28
"1940",2779.12,3071.08
"1941",2728.92,2879.05
"1942",2728.92,2720.3
"1943",2728.92,2629.76
"1944",2728.92,2610.87
"1945",2728.92,2643.31
"1946",2587.63,2706.22
"1947",3343.87,2778.72
"1948",2561.05,2840.25
"1949",2354.77,2879.98
"1950",3031.32,2898.68
"1951",2793.12,2897.77
"1952",3087.2,2878.68
"1953",3269.3,2842.85
"1954",2433.73,2794.9
"1955",2401.96,2745.33
"1956",3423.6,2705.32
"1957",2185.17,2686.04
"1958",2629.82,2698.68
"1959",2657.06,2747.39
"1960",3444.63,2814.76
"1961",2782.14,2879.21
"1962",2721.87,2919.16
"1963",2336.89,2913.02
"1964",3352.84,2846.09
"1965",2479.45,2739.39
"1966",3408.17,2625.54
"1967",2564.77,2537.14
"1968",1659.68,2506.81
"1969",2166.43,2562.24
"1970",3038.49,2686.83
"1971",3707.42,2840.47
"1972",2805.5,2982.82
"1973",2769.19,3073.56
"1974",3080.88,3074.6
"1975",2840.51,2986.3
"1976",2765.07,2841.49
"1977",2696.31,2674
"1978",2714.15,2517.68
"1979",2291.91,2405.94
"1980",2650.66,2354.4
"1981",2489.46,2355.12
"1982",2101.96,2398.5
"1983",1973.17,2474.93
"1984",2637.45,2574.83
"1985",2847.3,2686.59
"1986",3513.24,2794.39
"1987",2313.68,2881.87
"1988",3144.46,2932.66
"1989",2841.98,2930.42
"1990",3166.39,2868.34
"1991",2302.1,2773.2
"1992",2289.28,2679.16
"1993",2937.6,2620.36
"1994",2705.16,2630.97
"1995",3585.77,2736.15
"1996",2509.89,2907.86
"1997",2268.5,3098.46
"1998",3188.23,3260.31
"1999",3730.77,3345.72
"2000",4292.87,3312.68
"2001",2678.31,3178.17
"2002",2570.41,2994.41
"2003",2590.56,2814.07
"2004",2820.44,2689.85
"2005",2775.76,2672.07
"2006",2877.98,2761.8
"2007",3043.5,2913.61
"2008",3255.29,3080.24
"2009",2971.34,3214.43
"2010",2747.06,3269.48
"2011",3839.83,3229.73
"2012",3329.67,3125.72
"2013",2751.14,2991.79
"2014",2577.37,2862.28
"2015",2511.26,2771.47
"2016",2697.55,2741.07
"2017",3359.53,2762.54
"2018",3170.6,2822.93
"2019",2471.44,2909.26
"2020",2970.65,3008.56
