"Category","Annual Mean","5-yr smooth"
"1901",1824.34,1870.74
"1902",2060.79,1866.17
"1903",1730.89,1860.53
"1904",1940.37,1852.75
"1905",1674.78,1841.76
"1906",1782.87,1826.49
"1907",1633.59,1806.4
"1908",1816.85,1784.44
"1909",1950.11,1765.04
"1910",2367.72,1752.62
"1911",1399.76,1751.61
"1912",1661.52,1766.02
"1913",1794.85,1794.63
"1914",1471.18,1832.75
"1915",1651.01,1875.6
"1916",2342.42,1918.42
"1917",2312.99,1956.53
"1918",1951.44,1987.62
"1919",1895.31,2011.85
"1920",1527.9,2029.53
"1921",2381.43,2040.96
"1922",2078.12,2046.43
"1923",2069.87,2047.12
"1924",1913.4,2045.64
"1925",2010.17,2044.72
"1926",2278.16,2047.12
"1927",2106.68,2055.57
"1928",2200.41,2071.3
"1929",2075.43,2091.36
"1930",1702.81,2112.14
"1931",1833.45,2130.01
"1932",2186.28,2141.34
"1933",2480.16,2143.08
"1934",2604.25,2134.83
"1935",1898.56,2116.92
"1936",1972.12,2089.7
"1937",1821.22,2053.52
"1938",2181.16,2009.03
"1939",2103.32,1959.5
"1940",1709.26,1909.38
"1941",1824.34,1863.15
"1942",1824.34,1825.26
"1943",1824.34,1800.03
"1944",1824.34,1789.72
"1945",1824.34,1794.96
"1946",1824.34,1816.38
"1947",1981.48,1854.6
"1948",1793.58,1910.07
"1949",2115.86,1977.97
"1950",1959.67,2047.21
"1951",1875.92,2106.33
"1952",2290.65,2143.88
"1953",1860.66,2148.48
"1954",2128.01,2117.26
"1955",2403.72,2063.35
"1956",2542.16,2001.66
"1957",1500.64,1947.1
"1958",1537.94,1914.59
"1959",1991.79,1912.51
"1960",2186.84,1929.08
"1961",1779.65,1948.67
"1962",2148.57,1955.64
"1963",1567.35,1934.34
"1964",2182.34,1874.09
"1965",1724.66,1789.95
"1966",1723.97,1705.34
"1967",1741.56,1643.66
"1968",1471.43,1628.35
"1969",1528.81,1679.09
"1970",1927.07,1782.13
"1971",2210.16,1905.97
"1972",1663.38,2018.9
"1973",2137.13,2089.27
"1974",2015.94,2087.26
"1975",2292.64,2015.3
"1976",1879.39,1902.98
"1977",1526.57,1780.77
"1978",1647.79,1679.11
"1979",1641.77,1627.96
"1980",1980.94,1636.27
"1981",1658.49,1685.11
"1982",1400.48,1753.62
"1983",1795.46,1820.93
"1984",2184.92,1866.23
"1985",1887.48,1877.31
"1986",1844.43,1860.21
"1987",1389.71,1823.31
"1988",2011.66,1775.01
"1989",1803.93,1723.68
"1990",2034.51,1677.51
"1991",1346.59,1643.97
"1992",1362.72,1630.4
"1993",1602.47,1644.11
"1994",1878.59,1692.44
"1995",1988.23,1779.81
"1996",2184.84,1893.5
"1997",1585.63,2014.47
"1998",1616.29,2123.68
"1999",2742.77,2202.06
"2000",2109.49,2232.77
"2001",2441.06,2221.82
"2002",2013.44,2188.91
"2003",2417,2153.92
"2004",1888.61,2136.71
"2005",2087.36,2156.24
"2006",2093.81,2212.32
"2007",2421.17,2286.68
"2008",2688.08,2360.33
"2009",2230.65,2414.29
"2010",2339.52,2429.82
"2011",2322.29,2400.95
"2012",2488.47,2340.8
"2013",2393.92,2264.06
"2014",1970.19,2185.38
"2015",1879.85,2119.44
"2016",2002.16,2075.7
"2017",2700.41,2051.18
"2018",1926.94,2041.08
"2019",1810.73,2040.6
"2020",2087.67,2044.92
