"Category","Annual Mean","5-yr smooth"
"1901",3379,3011.05
"1902",2961.78,3030.57
"1903",2629.7,3047.73
"1904",3488.25,3060.16
"1905",2143.08,3065.48
"1906",3143.16,3061.32
"1907",2865.77,3045.73
"1908",3688.96,3019.47
"1909",3319.4,2984.44
"1910",3605.54,2942.56
"1911",2286.16,2895.73
"1912",2627.21,2846.19
"1913",2808.65,2799.93
"1914",1957.8,2765.52
"1915",2639.45,2751.56
"1916",3536.53,2766.65
"1917",3428.62,2818.91
"1918",2751.13,2904.04
"1919",2627.02,3004.55
"1920",2718.95,3102.35
"1921",3407.5,3179.34
"1922",3028.8,3217.57
"1923",3275.65,3210.7
"1924",3470.37,3171.77
"1925",3192.74,3115.7
"1926",3229.9,3057.41
"1927",2667.01,3011.8
"1928",3181.74,2988.95
"1929",2944.56,2985.84
"1930",2677.38,2997.25
"1931",2813.97,3017.94
"1932",3234.54,3042.67
"1933",3016.15,3066.69
"1934",3884.4,3087.34
"1935",2564.4,3102.56
"1936",3220.19,3110.29
"1937",2760.86,3108.49
"1938",3256.86,3095.29
"1939",3490.43,3070.35
"1940",2706.17,3034.04
"1941",2849.87,2986.72
"1942",2849.87,2928.78
"1943",2849.87,2861.03
"1944",2849.87,2790.97
"1945",2849.87,2731.06
"1946",2727.46,2693.9
"1947",3171.93,2692.1
"1948",2495.1,2737.74
"1949",2568.28,2826.6
"1950",2783.09,2935.14
"1951",2908.46,3038.68
"1952",3417.64,3112.56
"1953",3070.48,3132.25
"1954",2853.69,3089.74
"1955",2922.12,3008.14
"1956",3838.27,2914
"1957",2433.83,2833.86
"1958",2751.49,2794.28
"1959",2838.76,2810.4
"1960",3050.79,2862.21
"1961",2385.31,2922.92
"1962",2852.73,2965.75
"1963",2602.08,2963.9
"1964",3500.94,2898.54
"1965",3059,2792.03
"1966",3101.9,2680.13
"1967",2508.17,2598.59
"1968",1817.46,2583.15
"1969",2154.46,2664.02
"1970",3241.58,2821.36
"1971",3804.69,3008.83
"1972",2889.74,3179.79
"1973",3384.81,3287.65
"1974",2973.21,3288.48
"1975",3059.87,3184.89
"1976",3366.82,3018.69
"1977",2514.68,2832.95
"1978",2725.25,2670.72
"1979",2385.67,2574.37
"1980",2840.35,2558.61
"1981",2729.58,2601.41
"1982",2729.52,2678.14
"1983",2565.34,2764.23
"1984",2862.95,2835.12
"1985",2949.39,2874.58
"1986",2812.22,2884.02
"1987",2511.33,2867.12
"1988",3023.5,2827.57
"1989",3217.29,2769.05
"1990",2645.88,2698.05
"1991",2381.02,2630.91
"1992",2079.33,2586.17
"1993",2989.8,2582.33
"1994",2597.81,2637.91
"1995",3550.45,2765.34
"1996",2996.66,2940.84
"1997",1980.69,3127.32
"1998",2919.31,3287.69
"1999",3901.33,3384.84
"2000",4031.91,3386.08
"2001",3479.36,3305.17
"2002",2764.39,3183.53
"2003",2833.8,3063
"2004",2807.32,2985.38
"2005",3100.91,2990.6
"2006",3278.54,3079.13
"2007",3217.57,3214.18
"2008",3788.09,3357.52
"2009",3132.4,3470.88
"2010",2821.9,3516.51
"2011",4195.44,3482.39
"2012",3592.41,3394.91
"2013",3113.14,3283.61
"2014",2994.73,3178.04
"2015",2824.25,3107.68
"2016",2706.87,3091.1
"2017",3958.26,3120.65
"2018",3765.47,3184.78
"2019",2393.19,3271.96
"2020",3529.31,3370.68
