"Category","Annual Mean","5-yr smooth"
"1901",2029.35,2019.93
"1902",2100.59,2067.67
"1903",1997.96,2111.27
"1904",2426,2146.58
"1905",1939.52,2169.45
"1906",2098.3,2175.75
"1907",1990.05,2162.42
"1908",2290.62,2133.87
"1909",2166.82,2097.6
"1910",2446.59,2061.12
"1911",1789.1,2031.97
"1912",2141.93,2017.22
"1913",2005.99,2018.76
"1914",1481.11,2034.96
"1915",1854.19,2064.15
"1916",2618.25,2104.62
"1917",2610.7,2154.63
"1918",2091.09,2210.38
"1919",2066.44,2265.94
"1920",1919.7,2315.27
"1921",2545.12,2352.33
"1922",2393.21,2371.15
"1923",2318.2,2370.37
"1924",2472.89,2356.39
"1925",2374.93,2336.33
"1926",2607.66,2317.32
"1927",2150.84,2306.5
"1928",2200.96,2308.23
"1929",2403.28,2319.42
"1930",1938.73,2335.72
"1931",2396.44,2352.77
"1932",2407.37,2366.22
"1933",2571.73,2372.24
"1934",2646.07,2369.39
"1935",2130.11,2356.92
"1936",2218.58,2334.07
"1937",2233.49,2300.09
"1938",2389.57,2254.65
"1939",2433.86,2200.8
"1940",1873.65,2143.21
"1941",2010.4,2086.5
"1942",2010.4,2035.35
"1943",2010.4,1994.3
"1944",2010.4,1966.59
"1945",2010.4,1954.41
"1946",2007.06,1959.95
"1947",2151.08,1985.39
"1948",1954.46,2032.72
"1949",2043.64,2097.22
"1950",1999.33,2166.3
"1951",2078.38,2226.88
"1952",2574.49,2265.89
"1953",2117.22,2270.34
"1954",2179.41,2236.71
"1955",2123.25,2179.31
"1956",2679.83,2114.41
"1957",1822.75,2058.3
"1958",1887.72,2027.24
"1959",1979.89,2030.53
"1960",2274.52,2055.81
"1961",1814.4,2086.6
"1962",2260.06,2106.41
"1963",1738.6,2098.75
"1964",2235.04,2051.94
"1965",2087.73,1979.37
"1966",2202.98,1902.52
"1967",1886.14,1842.91
"1968",1450.38,1822.02
"1969",1618.61,1858.07
"1970",2042.53,1939.4
"1971",2452.65,2038.58
"1972",1912.01,2127.99
"1973",2242.24,2180.04
"1974",2033.75,2168.82
"1975",2172.68,2097.74
"1976",2044.97,1994.88
"1977",1790.74,1889.13
"1978",1662.12,1809.35
"1979",1905.92,1783.92
"1980",2193.15,1820.26
"1981",1659.93,1897.98
"1982",1779.97,1994.76
"1983",1984.94,2088.29
"1984",2531.7,2156.3
"1985",2188.46,2185.28
"1986",2116.52,2180.29
"1987",1754.84,2148.79
"1988",2420.72,2098.23
"1989",2169.69,2036.05
"1990",2104.71,1970.26
"1991",1704.31,1910.77
"1992",1565.67,1867.92
"1993",1857.99,1852.03
"1994",1868.98,1873.44
"1995",2536.46,1939.24
"1996",2206.78,2037.28
"1997",1637.43,2148.3
"1998",1776.77,2253.06
"1999",2632.71,2332.32
"2000",2382.24,2368.79
"2001",2588.73,2365.95
"2002",2254.31,2339.66
"2003",2598.88,2305.94
"2004",2115.34,2280.81
"2005",2188.95,2279.67
"2006",2207.27,2304.76
"2007",2212.47,2345.91
"2008",2813.87,2392.45
"2009",2216.39,2433.74
"2010",2017.16,2459.23
"2011",2949.28,2464.4
"2012",2617.66,2453.78
"2013",2411.57,2432.6
"2014",2295.54,2406.11
"2015",2114.66,2379.55
"2016",2298.99,2356.53
"2017",2732.93,2336.82
"2018",2331.76,2319.58
"2019",2048.08,2303.98
"2020",2383.23,2289.21
