"Category","Annual Mean","5-yr smooth"
"1901",2203.75,2144.64
"1902",2307.42,2227.22
"1903",2164.71,2303.83
"1904",2518.02,2368.49
"1905",2173.14,2415.24
"1906",2266.92,2438.1
"1907",2307.87,2432.59
"1908",2567.29,2404.35
"1909",2569.79,2363.24
"1910",2975.61,2319.14
"1911",1996.66,2281.92
"1912",2050.9,2260.88
"1913",2246.24,2258.23
"1914",1704.72,2271.44
"1915",2104.33,2297.88
"1916",2993.83,2334.92
"1917",2636.68,2379.89
"1918",2478.75,2428.7
"1919",2260.85,2475.77
"1920",1996.26,2515.46
"1921",2923.91,2542.11
"1922",2678.64,2550.14
"1923",2364.66,2538.54
"1924",2464.23,2514.01
"1925",2457.78,2483.96
"1926",2774.89,2455.82
"1927",2431.76,2437
"1928",2384.25,2432.16
"1929",2588.65,2438.5
"1930",2086.94,2451.93
"1931",2145.59,2468.38
"1932",2544.09,2483.77
"1933",2687.36,2494.33
"1934",3016.73,2497.67
"1935",2307.56,2491.79
"1936",2376.77,2474.7
"1937",2334.6,2444.41
"1938",2433.28,2399.64
"1939",2480.01,2344.83
"1940",2067.91,2287.06
"1941",2203.75,2233.46
"1942",2203.75,2191.13
"1943",2203.75,2166.87
"1944",2203.75,2162.76
"1945",2203.75,2177.34
"1946",2203.75,2209.09
"1947",2481.54,2256.46
"1948",2035.44,2317.78
"1949",2618.5,2387.25
"1950",2367.99,2454.14
"1951",2234.39,2507.43
"1952",2654.31,2536.12
"1953",2353.98,2529.29
"1954",2526.39,2485.04
"1955",2599.96,2418.57
"1956",2885.19,2346.92
"1957",1947.73,2287.16
"1958",1863.49,2256.36
"1959",2359.98,2263.97
"1960",2487.5,2295.98
"1961",2173.79,2333.86
"1962",2514.02,2359.11
"1963",2151.61,2353.18
"1964",2401.62,2302.91
"1965",2415.77,2222.91
"1966",2118.75,2136.82
"1967",1998.7,2068.27
"1968",1758.36,2040.89
"1969",1946.53,2074.75
"1970",2393.78,2157.82
"1971",2700.33,2261.01
"1972",2129.93,2355.09
"1973",2346.82,2410.83
"1974",2262.48,2400.73
"1975",2583.79,2327.39
"1976",2057.22,2218.75
"1977",1949.1,2103.55
"1978",1996.05,2010.54
"1979",1965.65,1967.97
"1980",2383.76,1983.93
"1981",1986.73,2039.77
"1982",1860.1,2114.95
"1983",2123.48,2188.95
"1984",2388.56,2241.29
"1985",2411.91,2259.52
"1986",2203.73,2248.18
"1987",1795.79,2214.03
"1988",2318.79,2163.8
"1989",2418.05,2104.23
"1990",2227.12,2042.78
"1991",1601.27,1989.4
"1992",1663.41,1954.58
"1993",2110.55,1948.81
"1994",2085.3,1982.59
"1995",2451.16,2063.06
"1996",2313.12,2177.51
"1997",2008.84,2305.9
"1998",1647.68,2428.19
"1999",2967.19,2524.33
"2000",2559.13,2576.38
"2001",2778.53,2588.31
"2002",2563.54,2577.2
"2003",2989.12,2560.3
"2004",2336.6,2554.85
"2005",2540.56,2577.33
"2006",2244.65,2628.18
"2007",2741.06,2692.67
"2008",3049.05,2755.47
"2009",2554.25,2801.26
"2010",2691.32,2814.92
"2011",3142.27,2791.45
"2012",2820.39,2740.99
"2013",2737.22,2674.91
"2014",2384.3,2604.59
"2015",2272.02,2541.39
"2016",2375.46,2492.79
"2017",3057.82,2456.97
"2018",2396.17,2430.73
"2019",2153.54,2410.87
"2020",2453.62,2394.22
