"iso3,C,254","adm0_name,C,254","adm1_name,C,254","adm2_name,C,254","LS_Risk,N,33,15","LS_Class,N,9,0","LS_Text,C,254"
PHL,Philippines,Region XIII,Surigao del Sur,2.254070044,2,Medium
PHL,Philippines,Region III,Tarlac,2.917160034,1,Low
PHL,Philippines,Autonomous region in Muslim Mindanao,Tawi-Tawi,1,4,Very high
PHL,Philippines,Region III,Zambales,2.721970081,1,Low
PHL,Philippines,Region IX,Zamboanga del Norte,1.969390035,3,High
PHL,Philippines,Region IX,Zamboanga del Sur,1.945909977,3,High
PHL,Philippines,Region IX,Zamboanga Sibugay,1.914510012,3,High
PHL,Philippines,Cordillera Administrative region,Abra,1.993379951,3,High
PHL,Philippines,Region XIII,Agusan del Norte,2.528229952,2,Medium
PHL,Philippines,Region XIII,Agusan del Sur,2.847949982,1,Low
PHL,Philippines,Region VI,Aklan,2.442909956,2,Medium
PHL,Philippines,Region V,Albay,2.696000099,1,Low
PHL,Philippines,Region VI,Antique,1.964679956,3,High
PHL,Philippines,Cordillera Administrative region,Apayao,1.251909971,4,Very high
PHL,Philippines,Region III,Aurora,2.079469919,3,High
PHL,Philippines,Autonomous region in Muslim Mindanao,Basilan,1,4,Very high
PHL,Philippines,Region III,Bataan,2.629790068,1,Low
PHL,Philippines,Region II,Batanes,1.416669965,4,Very high
PHL,Philippines,Region IV-A,Batangas,1.848839998,4,Very high
PHL,Philippines,Cordillera Administrative region,Benguet,1.301159978,4,Very high
PHL,Philippines,Region VIII,Biliran,1.961539984,3,High
PHL,Philippines,Region VII,Bohol,2.159849882,2,Medium
PHL,Philippines,Region X,Bukidnon,2.019850016,3,High
PHL,Philippines,Region III,Bulacan,2.773849964,1,Low
PHL,Philippines,Region II,Cagayan,2.538759947,1,Low
PHL,Philippines,Region V,Camarines Norte,2.250920057,2,Medium
PHL,Philippines,Region V,Camarines Sur,2.673680067,1,Low
PHL,Philippines,Region X,Camiguin,1.803570032,4,Very high
PHL,Philippines,Region VI,Capiz,2.291300058,2,Medium
PHL,Philippines,Region V,Catanduanes,3,1,Low
PHL,Philippines,Region IV-A,Cavite,2.34375,2,Medium
PHL,Philippines,Region VII,Cebu,2.082429886,3,High
PHL,Philippines,Region XI,Compostela Valley,1.981130004,3,High
PHL,Philippines,Region XI,Davao del Norte,2.400000095,2,Medium
PHL,Philippines,Region XI,Davao del Sur,2.30666995,2,Medium
PHL,Philippines,Region XI,Davao Oriental,1.54945004,4,Very high
PHL,Philippines,Region XIII,Dinagat Islands,1.409999967,4,Very high
PHL,Philippines,Region VIII,Eastern Samar,2.444439888,2,Medium
PHL,Philippines,Region VI,Guimaras,2.328949928,2,Medium
PHL,Philippines,Cordillera Administrative region,Ifugao,1,4,Very high
PHL,Philippines,Region I,Ilocos Norte,2.620189905,1,Low
PHL,Philippines,Region I,Ilocos Sur,2.577660084,1,Low
PHL,Philippines,Region VI,Iloilo,2.106300116,2,Medium
PHL,Philippines,Region II,Isabela,2.542079926,1,Low
PHL,Philippines,Cordillera Administrative region,Kalinga,1.100000024,4,Very high
PHL,Philippines,Region I,La Union,2.12473011,2,Medium
PHL,Philippines,Region IV-A,Laguna,2.467410088,2,Medium
PHL,Philippines,Region X,Lanao del Norte,2.62857008,1,Low
PHL,Philippines,Autonomous region in Muslim Mindanao,Lanao del Sur,0,0,Uncategorized
PHL,Philippines,Region VIII,Leyte,2.312099934,2,Medium
PHL,Philippines,Autonomous region in Muslim Mindanao,Maguindanao,3,1,Low
PHL,Philippines,Region IV-B,Marinduque,1.669720054,4,Very high
PHL,Philippines,Region V,Masbate,2.095609903,3,High
PHL,Philippines,National Capital region,Metropolitan Manila,0,0,Uncategorized
PHL,Philippines,Region X,Misamis Occidental,2.567569971,1,Low
PHL,Philippines,Region X,Misamis Oriental,2.124219894,2,Medium
PHL,Philippines,Region II,Quirino,1.674999952,4,Very high
PHL,Philippines,Region IV-A,Rizal,1.967210054,3,High
PHL,Philippines,Region IV-B,Romblon,1.321099997,4,Very high
PHL,Philippines,Region VIII,Samar,2.692310095,1,Low
PHL,Philippines,Region XII,Sarangani,1.741379976,4,Very high
PHL,Philippines,Autonomous region in Muslim Mindanao,Maguindanao,3,1,Low
PHL,Philippines,Region VII,Siquijor,2.215049982,2,Medium
PHL,Philippines,Region V,Sorsogon,2.067420006,3,High
PHL,Philippines,Region XII,South Cotabato,1.843050003,4,Very high
PHL,Philippines,Region VIII,Southern Leyte,1.627449989,4,Very high
PHL,Philippines,Region XII,Sultan Kudarat,1.77015996,4,Very high
PHL,Philippines,Autonomous region in Muslim Mindanao,Sulu,2.119999886,2,Medium
PHL,Philippines,Region XIII,Surigao del Norte,2.036139965,3,High
PHL,Philippines,Cordillera Administrative region,Mountain Province,1,4,Very high
PHL,Philippines,Region VI,Negros Occidental,2.516459942,2,Medium
PHL,Philippines,Region VII,Negros Oriental,1.973430038,3,High
PHL,Philippines,Region XII,North Cotabato,2.011699915,3,High
PHL,Philippines,Region VIII,Northern Samar,2.066900015,3,High
PHL,Philippines,Region III,Nueva Ecija,2.908220053,1,Low
PHL,Philippines,Region II,Nueva Vizcaya,1.725870013,4,Very high
PHL,Philippines,Region IV-B,Occidental Mindoro,2.006170034,3,High
PHL,Philippines,Region IV-B,Oriental Mindoro,2.093899965,3,High
PHL,Philippines,Region IV-B,Palawan,2.024879932,3,High
PHL,Philippines,Region III,Pampanga,2.951220036,1,Low
PHL,Philippines,Region I,Pangasinan,2.748029947,1,Low
PHL,Philippines,Region IV-A,Quezon,2.206899881,2,Medium
